Step 0115 | Loss: 1150.4382 | L0: 1075.0 | Dead: 0
Step 0116 | Loss: 1102.7080 | L0: 1075.0 | Dead: 0
Step 0117 | Loss: 1149.3640 | L0: 1075.0 | Dead: 0
Step 0118 | Loss: 1125.3903 | L0: 1075.0 | Dead: 0
Step 0119 | Loss: 1115.9014 | L0: 1075.0 | Dead: 0
Step 0120 | Loss: 1038.1984 | L0: 1075.0 | Dead: 0
Step 0121 | Loss: 1014.1931 | L0: 1075.0 | Dead: 0
Step 0122 | Loss: 1038.4048 | L0: 1075.0 | Dead: 0
Step 0123 | Loss: 1053.2354 | L0: 1075.0 | Dead: 0
Step 0124 | Loss: 1146.2992 | L0: 1075.0 | Dead: 0
Step 0125 | Loss: 1108.7106 | L0: 1075.0 | Dead: 0
Step 0126 | Loss: 1154.8948 | L0: 1075.0 | Dead: 0
Step 0127 | Loss: 1086.3826 | L0: 1075.0 | Dead: 0
Step 0128 | Loss: 1073.2745 | L0: 1075.0 | Dead: 0
Step 0129 | Loss: 1073.3918 | L0: 1075.0 | Dead: 0
Step 0130 | Loss: 999.0660 | L0: 1075.0 | Dead: 0
Step 0131 | Loss: 996.1838 | L0: 1075.0 | Dead: 0
Step 0132 | Loss: 987.2427 | L0: 1075.0 | Dead: 0
Step 0133 | Loss: 1024.1655 | L0: 1075.0 | Dead: 0
Step 0134 | Loss: 1100.9421 | L0: 1075.0 | Dead: 0
Step 0135 | Loss: 1039.4246 | L0: 1075.0 | Dead: 0
Step 0136 | Loss: 1028.7615 | L0: 1075.0 | Dead: 0
Step 0137 | Loss: 1021.6537 | L0: 1075.0 | Dead: 0
Step 0138 | Loss: 999.1471 | L0: 1075.0 | Dead: 0
Step 0139 | Loss: 990.4747 | L0: 1075.0 | Dead: 0
Step 0140 | Loss: 971.2146 | L0: 1075.0 | Dead: 0
Step 0141 | Loss: 1006.0286 | L0: 1075.0 | Dead: 0
Step 0142 | Loss: 1018.5145 | L0: 1075.0 | Dead: 0
Step 0143 | Loss: 958.9332 | L0: 1075.0 | Dead: 0
Step 0144 | Loss: 957.8478 | L0: 1075.0 | Dead: 0
Step 0145 | Loss: 947.9146 | L0: 1075.0 | Dead: 0
Step 0146 | Loss: 983.0033 | L0: 1075.0 | Dead: 0
Step 0147 | Loss: 966.9967 | L0: 1075.0 | Dead: 0
Step 0148 | Loss: 954.2168 | L0: 1075.0 | Dead: 0
Step 0149 | Loss: 916.3743 | L0: 1075.0 | Dead: 0
Step 0150 | Loss: 974.6017 | L0: 1075.0 | Dead: 0
Step 0151 | Loss: 936.4177 | L0: 1075.0 | Dead: 0
Step 0152 | Loss: 951.4319 | L0: 1075.0 | Dead: 0
Step 0153 | Loss: 929.4330 | L0: 1075.0 | Dead: 0
Step 0154 | Loss: 953.6799 | L0: 1075.0 | Dead: 0
Step 0155 | Loss: 917.6252 | L0: 1075.0 | Dead: 0
Step 0156 | Loss: 933.6990 | L0: 1075.0 | Dead: 0
Step 0157 | Loss: 920.3225 | L0: 1075.0 | Dead: 0
Step 0158 | Loss: 929.1457 | L0: 1075.0 | Dead: 0
Step 0159 | Loss: 905.8147 | L0: 1075.0 | Dead: 0
Step 0160 | Loss: 895.6003 | L0: 1075.0 | Dead: 0
Step 0161 | Loss: 892.4835 | L0: 1075.0 | Dead: 0
Step 0162 | Loss: 858.7198 | L0: 1075.0 | Dead: 0
Step 0163 | Loss: 845.3634 | L0: 1075.0 | Dead: 0
Step 0164 | Loss: 955.2250 | L0: 1075.0 | Dead: 0
Step 0165 | Loss: 919.8350 | L0: 1075.0 | Dead: 0
Step 0166 | Loss: 892.9058 | L0: 1075.0 | Dead: 0
Step 0167 | Loss: 901.0142 | L0: 1075.0 | Dead: 0
Step 0168 | Loss: 894.6229 | L0: 1075.0 | Dead: 0
Step 0169 | Loss: 950.4351 | L0: 1075.0 | Dead: 0
Step 0170 | Loss: 895.0803 | L0: 1075.0 | Dead: 0
Step 0171 | Loss: 867.8868 | L0: 1075.0 | Dead: 0
Step 0172 | Loss: 875.2807 | L0: 1075.0 | Dead: 0
Step 0173 | Loss: 849.5851 | L0: 1075.0 | Dead: 0
Step 0174 | Loss: 841.8663 | L0: 1075.0 | Dead: 0
Step 0175 | Loss: 904.9742 | L0: 1075.0 | Dead: 0
Step 0176 | Loss: 902.7090 | L0: 1075.0 | Dead: 0
Step 0177 | Loss: 905.4182 | L0: 1075.0 | Dead: 0
Step 0178 | Loss: 873.9387 | L0: 1075.0 | Dead: 0
Step 0179 | Loss: 867.8223 | L0: 1075.0 | Dead: 0
Step 0180 | Loss: 876.3993 | L0: 1075.0 | Dead: 0
Step 0181 | Loss: 877.8145 | L0: 1075.0 | Dead: 0
Step 0182 | Loss: 847.7754 | L0: 1075.0 | Dead: 0
Step 0183 | Loss: 836.4198 | L0: 1075.0 | Dead: 0
Step 0184 | Loss: 855.5222 | L0: 1075.0 | Dead: 0
Step 0185 | Loss: 840.9827 | L0: 1075.0 | Dead: 0
Step 0186 | Loss: 833.5840 | L0: 1075.0 | Dead: 0
Step 0187 | Loss: 818.8031 | L0: 1075.0 | Dead: 0
Step 0188 | Loss: 913.3486 | L0: 1075.0 | Dead: 0
Step 0189 | Loss: 840.7294 | L0: 1075.0 | Dead: 0
Step 0190 | Loss: 820.0208 | L0: 1075.0 | Dead: 0
Step 0191 | Loss: 789.5576 | L0: 1075.0 | Dead: 0
Step 0192 | Loss: 836.4225 | L0: 1075.0 | Dead: 0
Step 0193 | Loss: 835.8778 | L0: 1075.0 | Dead: 0
Step 0194 | Loss: 788.3474 | L0: 1075.0 | Dead: 0
Step 0195 | Loss: 818.3200 | L0: 1075.0 | Dead: 0
Step 0196 | Loss: 784.0118 | L0: 1075.0 | Dead: 0
Step 0197 | Loss: 839.3785 | L0: 1075.0 | Dead: 0
Step 0198 | Loss: 810.2200 | L0: 1075.0 | Dead: 0
Step 0199 | Loss: 775.9137 | L0: 1075.0 | Dead: 0
Step 0200 | Loss: 806.4192 | L0: 1075.0 | Dead: 0
Step 0201 | Loss: 808.2175 | L0: 1075.0 | Dead: 0
Step 0202 | Loss: 809.1923 | L0: 1075.0 | Dead: 0
Step 0203 | Loss: 791.8503 | L0: 1075.0 | Dead: 0
Step 0204 | Loss: 788.3369 | L0: 1075.0 | Dead: 0
Step 0205 | Loss: 770.6899 | L0: 1075.0 | Dead: 0
Step 0206 | Loss: 818.6301 | L0: 1075.0 | Dead: 0
Step 0207 | Loss: 811.2290 | L0: 1075.0 | Dead: 0
Step 0208 | Loss: 793.1841 | L0: 1075.0 | Dead: 0
Step 0209 | Loss: 839.9390 | L0: 1075.0 | Dead: 0
Step 0210 | Loss: 798.3164 | L0: 1075.0 | Dead: 0
Step 0211 | Loss: 787.5806 | L0: 1075.0 | Dead: 0
Step 0212 | Loss: 801.2202 | L0: 1075.0 | Dead: 0
Step 0213 | Loss: 777.2881 | L0: 1075.0 | Dead: 0
Step 0214 | Loss: 813.0807 | L0: 1075.0 | Dead: 0
Step 0215 | Loss: 769.1678 | L0: 1075.0 | Dead: 0
Step 0216 | Loss: 763.5108 | L0: 1075.0 | Dead: 0
Step 0217 | Loss: 769.1774 | L0: 1075.0 | Dead: 0
Step 0218 | Loss: 773.8040 | L0: 1075.0 | Dead: 0
Step 0219 | Loss: 801.5084 | L0: 1075.0 | Dead: 0
Step 0220 | Loss: 796.3480 | L0: 1075.0 | Dead: 0
Step 0221 | Loss: 775.0425 | L0: 1075.0 | Dead: 0
Step 0222 | Loss: 742.7608 | L0: 1075.0 | Dead: 0
Step 0223 | Loss: 759.9171 | L0: 1075.0 | Dead: 0
Step 0224 | Loss: 766.8134 | L0: 1075.0 | Dead: 0
Step 0225 | Loss: 779.3163 | L0: 1075.0 | Dead: 0
Step 0226 | Loss: 769.8884 | L0: 1075.0 | Dead: 0
